word1,word2,similarity_score
advise,recommend,0.58
imitate,portray,0.45
win,succeed,0.39
think,decide,0.51
greet,meet,0.54
agree,argue,0.44
enjoy,entertain,0.57
destroy,make,0.43
save,protect,0.52
give,lend,0.52
understand,know,0.42
take,receive,0.62
accept,acknowledge,0.65
decide,choose,0.62
accept,believe,0.43
keep,possess,0.41
roam,wander,0.56
succeed,fail,0.4
spend,save,0.37
leave,go,0.39
come,attend,0.52
know,believe,0.37
gather,meet,0.54
make,earn,0.44
forget,ignore,0.66
multiply,add,0.48
shrink,grow,0.36
arrive,leave,0.34
succeed,try,0.37
accept,deny,0.5
arrive,come,0.56
agree,differ,0.35
send,receive,0.65
win,dominate,0.36
add,divide,0.38
kill,choke,0.44
acquire,get,0.45
participate,join,0.55
leave,remain,0.56
go,enter,0.49
take,carry,0.69
forget,learn,0.45
appoint,elect,0.57
engage,marry,0.42
ask,pray,0.55
go,send,0.41
take,deliver,0.56
speak,hear,0.44
analyze,evaluate,0.67
argue,rationalize,0.4
lose,keep,0.47
compare,analyze,0.52
disorganize,organize,0.7
go,allow,0.46
take,possess,0.5
learn,listen,0.53
destroy,construct,0.5
create,build,0.58
steal,buy,0.39
kill,hang,0.33
forget,know,0.4
create,imagine,0.43
do,happen,0.51
win,accomplish,0.29
give,deny,0.47
deserve,earn,0.43
get,put,0.72
locate,find,0.64
appear,attend,0.62
know,comprehend,0.36
pretend,imagine,0.55
satisfy,please,0.43
cherish,keep,0.47
argue,differ,0.38
overcome,dominate,0.54
behave,obey,0.46
cooperate,participate,0.57
achieve,try,0.41
fail,discourage,0.31
begin,quit,0.39
say,participate,0.34
come,bring,0.61
declare,announce,0.6
read,comprehend,0.44
take,leave,0.43
proclaim,announce,0.61
acquire,obtain,0.73
conclude,decide,0.5
please,plead,0.52
argue,prove,0.45
ask,plead,0.45
find,disappear,0.31
inspect,examine,0.62
verify,justify,0.56
assume,predict,0.56
learn,evaluate,0.42
argue,justify,0.44
make,become,0.45
discover,originate,0.42
achieve,succeed,0.55
give,put,0.59
understand,listen,0.45
expand,grow,0.5
borrow,sell,0.45
keep,protect,0.61
explain,prove,0.5
assume,pretend,0.57
agree,please,0.37
forgive,forget,0.49
clarify,explain,0.5
understand,forgive,0.44
remind,forget,0.47
get,remain,0.52
realize,discover,0.44
require,inquire,0.46
ignore,ask,0.39
think,inquire,0.42
reject,avoid,0.57
argue,persuade,0.52
pursue,persuade,0.45
accept,forgive,0.43
do,quit,0.5
investigate,examine,0.66
discuss,explain,0.44
owe,lend,0.27
explore,discover,0.65
complain,argue,0.47
withdraw,reject,0.63
keep,borrow,0.4
beg,ask,0.59
arrange,organize,0.65
reduce,shrink,0.53
speak,acknowledge,0.39
give,borrow,0.48
kill,defend,0.37
disappear,shrink,0.45
deliver,carry,0.57
breathe,choke,0.39
acknowledge,notify,0.41
become,seem,0.34
pretend,seem,0.29
accomplish,become,0.44
contemplate,think,0.58
determine,predict,0.46
please,entertain,0.38
remain,retain,0.72
pretend,portray,0.49
forget,retain,0.5
want,choose,0.63
lose,get,0.39
try,think,0.66
become,appear,0.48
leave,ignore,0.47
accept,recommend,0.44
leave,wander,0.32
keep,give,0.5
give,allow,0.63
bring,send,0.53
absorb,learn,0.45
acquire,find,0.36
leave,appear,0.44
create,destroy,0.52
begin,go,0.43
get,buy,0.43
collect,save,0.46
replace,restore,0.46
join,add,0.47
join,marry,0.41
accept,deliver,0.4
attach,join,0.5
put,hang,0.49
go,sell,0.37
communicate,pray,0.32
give,steal,0.44
add,build,0.46
bring,restore,0.39
comprehend,satisfy,0.41
portray,decide,0.24
organize,become,0.28
give,know,0.39
say,verify,0.43
cooperate,join,0.44
arrange,require,0.4
borrow,want,0.44
investigate,pursue,0.52
ignore,explore,0.31
bring,complain,0.34
enter,owe,0.43
portray,notify,0.32
remind,sell,0.27
absorb,possess,0.44
join,acquire,0.32
send,attend,0.47
gather,attend,0.59
absorb,withdraw,0.43
attend,arrive,0.5
