word1,word2,Simlex999,Std Deviation,Variance,Count,POS
inspanning,moeilijkheid,4.04,2.46,6.04,12,V
kip,kalkoen,6.03,2.27,5.14,12,N
kleding,kast,3.2,2.97,8.84,12,N
koesteren,houden,6.06,2.73,7.48,12,N
krijgen,kopen,2.12,1.29,1.65,12,V
maaltijd,staart,0.49,0.48,0.23,12,N
ontkenning,bekentenis,2.21,2.85,8.11,12,N
prins,koning,5.25,2.93,8.57,12,N
rekenkunde,ritme,2.42,2.97,8.83,12,N
rijkdom,armoede,2.56,2.91,8.49,12,N
school,cijfer,3.76,3.12,9.71,12,N
schoonheid,leeftijd,1.31,1.38,1.92,12,N
taak,rietje,0.83,0.6,0.35,12,N
verdrietig,grappig,1.68,2.28,5.21,12,A
vergelijken,analyseren,4.1,2.67,7.14,12,V
vuil,goedkoop,1.44,1.71,2.92,12,A
aandacht,interesse,8.13,1.32,1.74,13,N
analyseren,evalueren,6.63,3.03,9.21,13,V
anatomie,biologie,5.93,2.87,8.21,13,N
appel,sap,3.06,2.23,4.98,13,N
appel,zonneschijn,1.69,2.53,6.39,13,N
arbeider,werkgever,2.81,2.58,6.66,13,N
auteur,lezer,2.58,2.8,7.85,13,N
bad,vrouw,1.61,2.48,6.17,13,N
badkamer,keuken,2.97,2.97,8.79,13,N
bereiken,slagen,6.7,3.06,9.35,13,V
bereiken,worden,5.7,2.65,7.01,13,V
bier,drank,5.67,3.24,10.5,13,N
boek,informatie,4.88,2.66,7.05,13,N
boosheid,woede,8.87,0.59,0.34,13,N
botten,kaak,4.9,2.8,7.82,13,N
bovenkant,zijkant,2.75,2.84,8.09,13,N
buik,ader,2.26,2.66,7.07,13,N
doen alsof,voorstellen,5.32,3.61,13.07,13,V
dollar,mensen,1.47,2.18,4.76,13,A
dom,slim,2.95,2.97,8.82,13,A
dood,tragedie,5.43,3.04,9.23,13,N
geld,salaris,6.29,2.62,6.88,13,N
geloof,bloem,1.43,2.48,6.14,13,N
gelukkig,jong,1.78,2.32,5.4,13,A
hard,stoer,5.69,2.94,8.64,13,A
hogeschool,beroep,3.3,2.91,8.48,13,N
huis,sleutel,3.55,3.01,9.03,13,N
jongen,zoon,6.1,3.4,11.56,13,N
kamer,gevangeniscel,2.77,2.55,6.49,13,N
koe,vee,6.72,1.9,3.61,13,N
krimpen,groeien,2.98,3.1,9.62,13,A
lijden,verdriet,6.83,2.13,4.55,13,N
maken,opbouwen,7.65,1.48,2.18,13,V
misdaad,diefstal,7.38,1.61,2.61,13,N
monster,demon,7.05,2.05,4.19,13,N
muziekgroep,orkest,8.04,1.47,2.17,13,N
nier,orgaan,6.35,2.29,5.22,13,N
ontvangen,geven,3.02,3.27,10.72,13,V
overeenkomst,voorwaarde,4.39,3.13,9.78,13,N
somber,saai,3.94,3.41,11.6,13,A
spel,truc,3.52,2.75,7.54,13,N
verdrietig,vreselijk,5.15,3.22,10.34,13,A
vergeten,leren,1.91,2.38,5.64,13,V
vergoeding,betaling,6.67,2.56,6.55,13,N
vervuiling,atmosfeer,4.08,3.5,12.23,13,N
vloer,dek,3.77,3.33,11.08,13,N
wolk,storm,3.83,2.74,7.48,13,N
zich gedragen,gehoorzamen,5.84,2.99,8.93,13,V
ziekte,besmetting,6.18,2.52,6.37,13,N
aankomen,komen,4.21,2.79,7.78,14,V
accepteren,erkennen,6.02,2.44,5.97,14,V
accepteren,geloven,4.06,2.79,7.8,14,V
ademen,verstikken,2.03,2.51,6.32,14,V
afwezigheid,aanwezigheid,2.54,2.95,8.7,14,N
afwijzen,vermijden,2.86,2.5,6.27,14,V
akkoord gaan,voldoen,3.04,2.48,6.13,14,V
alcohol,cocktail,5.68,2.55,6.49,14,N
appartement,meubels,2.82,2.35,5.53,14,N
appel,saus,1.34,1.24,1.53,14,N
arbeider,camera,0.88,1.98,3.9,14,N
argumenteren,bewijzen,6.23,2.39,5.72,14,V
argumenteren,verschillen,4.26,2.9,8.42,14,V
arm,lichaam,3.36,2.55,6.48,14,N
auto,brug,1.56,2.11,4.44,14,N
bal,handschoen,1.84,2.26,5.12,14,N
bed,wieg,6.7,2.3,5.31,14,N
bed,slaapkamer,2.52,2.27,5.17,14,N
begrijpen,voldoen,2.38,2.69,7.25,14,V
begrijpen,vergeven,1.73,2.27,5.16,14,V
bende,menigte,5.1,2.71,7.32,14,N
bescheiden,beschaamd,3.87,2.94,8.63,14,A
beslissen,kiezen,6.91,2.23,4.95,14,V
bevolking,mensen,6.8,1.78,3.15,14,N
bewijs,feit,7.06,2.51,6.3,14,N
binnentreden,verschuldigd zijn,1.07,0.96,0.91,14,V
bloem,viooltjes,6.12,2.62,6.87,14,N
boek,verhaal,5.15,2.75,7.54,14,N
boot,dek,3.27,2.9,8.39,14,N
botten,elleboog,2.77,2.35,5.53,14,N
buik,onderbuik,5.32,2.28,5.19,14,N
communiceren,bidden,1.69,1.67,2.79,14,V
creëren,maken,8.76,1.22,1.48,14,V
dak,kathedraal,2,2.42,5.87,14,N
darm,zenuw,1.18,1.83,3.35,14,N
denken,informeren,1.4,2.02,4.1,14,V
doden,ophangen,4.34,3.18,10.11,14,V
doden,verdedigen,2.45,2.5,6.25,14,V
dom,stom,4.67,3.22,10.4,14,A
dom,zeldzaam,1.2,1.94,3.77,14,N
dood,begrafenis,3.67,3.5,12.28,14,N
dood,ramp,3.2,2.12,4.49,14,N
eerlijk,schuldig,1.18,1.96,3.85,14,A
eikenboom,esdoorn,4.8,2.78,7.74,14,N
formeel,juist,2.5,2.28,5.22,14,N
gangpad,gang,7.35,1.57,2.46,14,N
gangpad,hal,6.03,3.07,9.44,14,N
gat,vrouw,1.21,1.82,3.33,14,N
geloof,begrip,5.42,2.79,7.81,14,N
geloof,mening,5.05,3,9,14,A
gelukkigheid,geluk,6.6,2.45,5.99,14,N
gevaar,ziekte,3.99,2.28,5.19,14,N
gras,mos,3.94,2.34,5.49,14,N
hal,gang,7.99,1.81,3.26,14,N
hals,ruggengraat,2.86,2.46,6.07,14,N
hard,wreed,7.02,2.2,4.85,14,A
heldin,held,8.55,1.42,2.03,14,N
herinneren,verkopen,1.41,2.44,5.97,14,V
heuvel,cliff,3.55,2.89,8.37,14,N
houden,bezitten,6.22,2.68,7.19,14,V
hout,papier,3.55,2.92,8.54,14,N
huis,appartement,6.3,2.16,4.69,14,N
huis,toestand,2.76,2.87,8.24,14,N
idee,plan,6.11,2.08,4.31,14,A
imiteren,uitbeelden,5.75,2.57,6.61,14,N
kalf,stier,4.71,2.85,8.11,14,N
keel,neus,3.25,3.28,10.78,14,A
kleding,knoop,2.67,2.4,5.77,14,N
koe,geit,1.56,2.48,6.14,14,V
krankzinnig,gek,8.02,2.06,4.24,14,N
leger,legioen,6.66,2.91,8.44,14,N
lenen,smeken,2.17,2.43,5.91,14,V
leraar,helper,4.27,2.94,8.64,14,N
leren,evalueren,4.71,2.45,6,14,V
machine,aandrijving,3.02,2.51,6.3,14,V
man,winnaar,1.61,1.96,3.85,14,N
mannen,broederschap,2.74,2.26,5.13,14,N
meisje,kind,3.94,2.53,6.41,14,N
menu,bestelling,3.02,2.44,5.94,14,N
moeder,vrouw,5.3,3,9,14,N
moeilijk,eenvoudig,2.25,3.16,9.98,14,A
moeilijk,simpel,2.24,2.07,4.29,14,A
molecuul,lucht,3.51,2.92,8.55,14,N
muis,kat,2.35,2.87,8.21,14,N
muis,beheer,0.82,0.67,0.45,14,N
muur,decoratie,2.7,2.34,5.45,14,N
negeren,verkennen,1.89,1.75,3.06,14,V
nemen,achterlaten,2.01,2.5,6.24,14,V
nieuw,oud,2.18,3.29,10.82,14,A
noodzakelijk,belangrijk,8.22,1.71,2.92,14,A
onderkant,bovenkant,3.5,2.98,8.86,14,N
overeenkomst,afspraak,7.37,2.63,6.93,14,N
paard,merrie,7.07,1.46,2.14,14,N
paard,veulen,5.75,2.45,6,14,N
pagina,paragraaf,3.08,2.91,8.49,14,N
pot,fles,2.25,2.05,4.2,14,N
raam,deur,3.31,3.04,9.21,14,N
rails,hek,4.07,2.51,6.31,14,N
rand,grens,7.15,1.97,3.86,14,N
rivier,zee,3.91,2.16,4.66,14,N
rondzwerven,dwalen,7.83,2.47,6.1,14,V
samenvoegen,verwerven,3.89,3.11,9.65,14,V
slang,tuin,1.54,2.29,5.25,14,N
slecht,schuldig,3.77,2.66,7.08,14,A
slecht,verschrikkelijk,6.93,2.18,4.75,14,A
smeken,vragen,3.47,2.36,5.56,14,V
sneeuw,storm,3.3,2.91,8.47,14,N
snel,razendsnel,7.18,1.74,3.02,14,A
staaf,gordijn,2.11,2.7,7.29,14,N
student,professor,2.5,2.75,7.54,14,N
taxi,taxi's,8.17,2.5,6.27,14,N
teen,vinger,3.25,2.8,7.81,14,N
tegenstander,rivaal,7.56,2.02,4.09,14,N
terugtrekken,afwijzen,4.41,2.73,7.46,14,V
tevredenstellen,vermaken,3.58,2.37,5.64,14,V
tong,keel,1.82,2.44,5.97,14,N
toren,bel,1.96,1.79,3.21,14,N
trui,jas,4.26,2.57,6.59,14,N
vader,dochter,3.11,3.47,12.06,14,N
vat,ader,4.59,3.68,13.52,14,N
verdriet,schaamte,1.87,2.4,5.76,14,N
verdwijnen,krimpen,4.04,2.48,6.14,14,V
vergeten,weten,2.28,2.59,6.69,14,V
vergoeding,salaris,5.51,2.11,4.47,14,N
verjaardag,datum,3.95,2.66,7.07,14,N
verliezen,houden,1.09,0.81,0.66,14,V
verliezen,krijgen,2,2.59,6.71,14,V
verminderen,krimpen,6.94,2.27,5.13,14,V
vernietigen,maken,2.19,2.68,7.19,14,V
vernietigen,bouwen,1.46,1.88,3.53,14,V
vertrekken,gaan,8.03,2.19,4.82,14,V
vertrekken,negeren,1.61,1.5,2.24,14,V
verwerven,verkrijgen,6.39,2.26,5.11,14,V
visie,perceptie,6.53,2.55,6.52,14,N
vlees,spek,4.94,2.64,6.96,14,N
vliegtuig,straalvliegtuig,7.33,1.11,1.24,14,N
voet,hoofd,1.39,0.82,0.67,14,N
volwassene,voogd,6.19,2.51,6.32,14,N
vooroordeel,mening,4.34,3.09,9.52,14,N
vreemd,sluw,2.32,2.28,5.19,14,A
vrouw,bont,1.74,1.81,3.26,14,N
weg,manier,3.87,3.03,9.19,14,N
wenkbrauw,oog,3.32,2.69,7.24,14,N
werkelijkheid,illusie,2.98,2.77,7.66,14,N
winnen,domineren,3.56,2.42,5.88,14,V
winnen,slagen,5.54,2.96,8.77,14,V
woord,pagina,2.53,2.42,5.85,14,N
zeggen,verifiëren,1.85,2.13,4.53,14,V
ziekte,infectie,6.07,2.15,4.61,14,N
accepteren,weigeren,2.25,2.51,6.32,15,V
advocaat,bankier,2.83,2.73,7.47,15,N
alcohol,brandewijn,3.75,2.73,7.44,15,N
appel,citroen,4.03,3.14,9.87,15,N
arbeider,monteur,4.25,3.1,9.64,15,N
argument,kritiek,4.83,2.74,7.51,15,N
arm,botten,3.09,3.06,9.38,15,N
arm,hals,2.97,3.11,9.68,15,N
auteur,maker,5.08,2.92,8.54,15,N
auto,rijtuig,6.3,2.79,7.78,15,N
baby,dochter,3.88,2.63,6.92,15,N
balk,kooi,0.72,1.54,2.38,15,N
beker,pot,3.85,2.94,8.67,15,N
bereiken,volbrengen,6.14,1.77,3.12,15,V
bijbel,psalm,2.04,2.18,4.74,15,N
boek,onderwerp,2.22,2.53,6.39,15,N
boom,esdoorn,4.05,3.21,10.27,15,N
botten,knie,3.19,2.62,6.88,15,N
botten,tanden,1.52,2.32,5.38,15,N
broer,ziel,2.34,2.8,7.86,15,N
bubbel,schuim,4.14,2.4,5.78,15,N
cent,vrouw,1.08,1.87,3.51,15,N
chauffeur,piloot,5.59,2.72,7.39,15,N
communicatie,taal,6.35,2.56,6.54,15,N
communicatie,televisie,3.11,2.9,8.4,15,N
controleren,rechtvaardigen,2.47,2.12,4.51,15,V
creëren,bouwen,7.19,1.63,2.66,15,V
cursus,buik,0.72,1.62,2.64,15,N
deur,keuken,1.45,1.54,2.38,15,N
deur,poort,5.54,3.33,11.12,15,N
diepte,omvang,1.35,1.81,3.26,15,N
dochter,kind,4.41,3.13,9.82,15,V
doel,pijl,4.02,3.08,9.48,15,N
eigenaardig,vreemd,8.56,1.3,1.69,15,N
elastisch,flexibel,7.32,2.08,4.34,15,N
erkennen,melden,1.98,2.13,4.53,15,A
formule,vergelijking,5.63,2.95,8.68,15,N
frustratie,woede,6.17,2.69,7.24,15,V
gaan,komen,4.01,3.27,10.67,15,V
gebied,regio,8.46,1.51,2.28,15,N
geld,diamant,1.36,1.82,3.33,15,N
gelukkig,kwaad,2.95,3.2,10.21,15,A
gelukkig,blij,7.09,2.21,4.91,15,N
geven,plaatsen,2.96,2.43,5.92,15,V
geven,toestaan,3.28,2.38,5.67,15,N
groeten,ontmoeten,3.42,2.61,6.82,15,A
hand,voet,3.12,2.67,7.15,15,A
hond,kat,3.26,3.2,10.25,15,N
hoofdstuk,staart,2.09,2.32,5.38,15,N
houden,lenen,2.87,2.68,7.16,15,N
juridische procedures,oordeel,4.79,2.5,6.27,15,N
kaart,brug,2.32,2.95,8.72,15,N
kind,volwassen,3.1,3.1,9.58,15,A
kinderachtig,dwaas,3.41,1.7,2.9,15,N
klaslokaal,gang,2.52,2.64,6.98,15,N
koning,prinses,2.26,2.9,8.39,15,N
kracht,macht,2.93,2.26,5.1,15,N
krijgen,zetten,2.08,2.21,4.89,15,V
lawaai,gerammel,4.65,2.11,4.44,15,N
leger,ploeg,2.8,2.43,5.89,15,N
lenen,willen,2.53,2.53,6.4,15,N
lens,camera,3.1,2.45,6,15,N
leren,luisteren,3.54,2.91,8.49,15,A
lied,verhaal,3.49,3.04,9.25,15,N
likeur,eeuw,1.26,1.42,2.02,15,N
lokaliseren,vinden,7.37,2.65,7.02,15,N
maker,producent,7.82,1.85,3.41,15,A
makkelijk,zwaar,2.17,2.35,5.51,15,N
minnaar,partner,4.82,2.72,7.38,15,N
modder,vuil,5.25,2.82,7.94,15,N
muur,baksteen,3.38,2.67,7.14,15,N
nacht,dageraad,2.97,3,8.99,15,N
neus,mond,3.94,3.73,13.88,15,N
nodig hebben,vragen,5.6,2.43,5.89,15,V
noord,west,1.83,2.39,5.71,15,N
ongelukkig,kwaad,3.1,2.26,5.11,15,A
onlangs,nieuw,3.45,2.47,6.08,15,A
ontdekken,ontstaan,3.98,3.02,9.09,15,V
orthodontist,tandarts,6.23,2.62,6.85,15,N
pijpleiding,kabel,1.55,1.91,3.66,15,N
pistool,mes,1.85,2.5,6.23,15,N
politieagent,sheriff,4.8,2.89,8.33,15,N
prachtig,fantastisch,6.3,2.14,4.57,15,A
prachtig,geweldig,6.85,2.19,4.79,15,A
raar,vreemd,8.4,1.67,2.8,15,A
rabbijn,geestelijke,4.98,2.89,8.35,15,N
recht,rechtvaardigheid,5.13,2.77,7.67,15,N
regelen,organiseren,6.76,2.87,8.22,15,V
samenwerken,deelnemen,4.21,2.29,5.23,15,V
schaap,lam,4.94,2.9,8.38,15,N
scherp,saai,0.95,1.47,2.16,15,A
schouder,hoofd,2.95,3.17,10.08,15,N
seconde,minuut,3.83,3.3,10.87,15,N
sla,azijn,2.56,2.46,6.03,15,N
slecht,immoreel,6.44,2.11,4.44,15,A
slecht,vreselijk,7.53,2.77,7.69,15,A
slim,intelligent,8.19,1.54,2.38,15,A
sluw,vreemd,2.99,2.7,7.31,15,A
sneeuw,weer,3.58,2.75,7.55,15,N
spier,tong,4.5,3.15,9.93,15,N
sterk,trots,4.09,2.31,5.32,15,A
tevredenstellen,voldoen,5.49,2.61,6.8,15,V
toevoegen,verdelen,2.46,2.65,7.02,15,V
uitgang,deuropening,4.64,2.65,7.03,15,N
uitgebreid,groot,5.58,2.59,6.7,15,A
uitleggen,bewijzen,4.76,2.22,4.94,15,V
vergeten,onderhouden,1.09,1.33,1.77,15,V
verkennen,ontdekken,6.88,2.53,6.42,15,V
verkondigen,aankondigen,6.43,1.97,3.89,15,V
vermenigvuldigen,toevoegen,3.67,2.74,7.49,15,V
verschuldigd zijn,lenen,3.43,2.51,6.31,15,V
vervangen,herstellen,3.87,2.86,8.2,15,V
verzamelen,bijwonen,1.06,1.71,2.93,15,V
verzamelen,opslaan,4.75,2.76,7.63,15,V
vlug,snel,8.95,1.27,1.62,15,A
voorbijgaan,verdwijnen,4.51,3.22,10.4,15,V
vriend,leraar,1.51,2.17,4.7,15,N
vuil,smal,1.68,2.33,5.43,15,A
wereld,wereldbol,4.46,3.17,10.08,15,N
werkelijkheid,verbeelding,1.55,2.62,6.86,15,N
winnen,bereiken,4.11,2.68,7.2,15,V
winter,zomer,4.16,3.34,11.14,15,N
worden,lijken,2.19,2.55,6.49,15,V
zenuw,hersenen,4.09,3.12,9.74,15,N
zon,lucht,3.28,3.23,10.44,15,N
aankomen,vertrekken,1.68,2.69,7.23,16,V
actie,cursus,1.28,1.99,3.96,16,N
administratie,management,3.28,2.83,8,16,N
agressie,vijandigheid,6.69,1.68,2.84,16,N
anarchie,chaos,3.65,2.87,8.26,16,N
argument,overeenkomst,1.5,0.98,0.95,16,N
argumenteren,rechtvaardigen,4.65,2.01,4.06,16,V
arm,pols,3.64,2.52,6.34,16,N
arts,dokter,9.28,0.88,0.77,16,N
auto,meter,1.25,2.01,4.03,16,N
auto,toeter,1.83,2.23,4.97,16,N
avondeten,maaltijd,6.14,3.28,10.76,16,N
bad,truc,1.06,1.97,3.89,16,N
bad,ballon,1.12,1.22,1.49,16,N
badkamer,slaapkamer,2.03,1.75,3.07,16,N
bal,mand,1.81,2.4,5.74,16,N
bed,ziekenhuis,3.24,3.19,10.18,16,N
been,arm,2.75,2.98,8.88,16,N
beker,wafel,1.15,1.97,3.9,16,N
beladen,zwaar,7.33,2.8,7.82,16,A
belasting,inkomen,2.93,3.19,10.19,16,N
bescheiden,flexibel,1.42,2.1,4.42,16,A
bij,koningin,2.95,2.9,8.41,16,N
bij,mier,1.93,2.46,6.08,16,N
bijvoegen,samenvoegen,6.56,2.6,6.74,16,V
bloed,merg,2.43,2.41,5.8,16,N
bocht,hoek,5.2,2.92,8.53,16,N
boek,thema,3.06,3.23,10.45,16,N
bord,kom,3.87,2.78,7.73,16,N
brengen,klagen,1.51,2.4,5.78,16,V
brengen,herstellen,2.03,2.44,5.94,16,V
brutaal,trots,1.67,2.03,4.11,16,A
comfort,veiligheid,4.54,3.22,10.38,16,N
dag,ochtend,3.5,2.71,7.36,16,N
dame,meneer,2.55,3.05,9.28,16,N
deelnemen,meedoen,8.9,1.71,2.94,16,N
delen,melden,6.1,3.28,10.75,16,V
denken,rationaliseren,5.34,3.2,10.21,16,V
deur,vloer,1.55,2.03,4.12,16,N
deur,ingang,6.43,2.25,5.05,16,N
dieet,appel,1.72,2.51,6.31,16,N
dieet,salade,3.82,3.49,12.16,16,N
doen,stoppen,2.1,3.09,9.53,16,V
dom,intelligent,2.62,2.78,7.71,16,A
echtgenote,echtgenoot,7.6,2.91,8.47,16,N
echtgenote,rietje,1.4,2.17,4.71,16,A
exotisch,zeldzaam,5.1,3.02,9.13,16,V
formule,logaritme,3.99,3.2,10.23,16,N
gaan,toestaan,1.33,1.36,1.84,16,V
gebied,hoek,1.97,1.65,2.72,16,N
geven,lenen,2.8,2.94,8.62,16,V
gevoel,intuïtie,8.02,1.87,3.49,16,A
god,geest,2.83,2.79,7.77,16,N
groot,enorm,7.53,2.14,4.56,16,A
groot,zwaar,5.2,3.14,9.86,16,N
hart,operatie,1.8,2.71,7.35,16,A
hemel,universum,5.49,2.97,8.83,16,V
houding,zelfvertrouwen,3.49,3.39,11.5,16,N
hysterie,verwarring,2.71,2.66,7.09,16,N
inspecteren,examineren,5.27,3.04,9.24,16,N
jongen,partner,2.57,3.16,9.98,16,N
kamer,bed,1.89,2.1,4.39,16,N
kerel,hengst,2.43,2.92,8.51,16,N
keuze,neiging,1.98,2.35,5.55,16,V
klein,enorm,1.82,2.9,8.41,16,N
klif,staart,0.93,0.94,0.89,16,N
komen,bijwonen,4.91,3.2,10.24,16,N
koorts,ziekte,4.29,2.72,7.37,16,N
koppel,paar,8.56,1.5,2.25,16,A
lenen,verkopen,1.28,1.32,1.75,16,V
leraar,instructeur,7.67,1.85,3.41,16,N
leraar,rabbijn,3.97,3.03,9.21,16,V
leveren,dragen,1.76,1.71,2.92,16,V
lucht,helium,3.18,2.68,7.19,16,N
luisteren,gehoorzamen,6.05,3.15,9.94,16,V
luisteren,horen,7.22,2.4,5.74,16,N
lus,riem,2.38,2.21,4.89,16,N
medium,nieuws,4.03,2.99,8.91,16,N
melk,sap,2.51,2.45,6,16,N
mensen,ballon,1.5,2.06,4.23,16,N
misdaad,overtreding,6.31,2.54,6.45,16,N
nemen,bezitten,3.26,2.13,4.55,16,V
onderzoeken,herzien,3.24,2.87,8.25,16,V
onderzoeken,streven,1.81,2.51,6.31,16,V
onnodig,noodzakelijk,1.71,2.96,8.78,16,A
ontbijt,spek,2.14,2.27,5.13,16,N
onwetendheid,intelligentie,1.96,2.11,4.44,16,N
oom,tante,4.11,3.4,11.57,16,N
opdracht,taak,7.77,1.67,2.79,16,N
orgaan,lever,3.86,3.21,10.3,16,N
oud,vers,1.69,2.67,7.14,16,A
oud,nieuw,1.94,2.42,5.87,16,A
pijp,sigaar,3.37,3.14,9.87,16,N
plaatsvinden,voorkomen,5.26,3.91,15.27,16,V
plezier,voetbal,1.86,2.7,7.28,16,N
politicus,president,4.2,3.18,10.13,16,N
realiseren,ontdekken,3.85,2.52,6.36,16,V
regelen,vereisen,2.13,1.67,2.78,16,V
reis,excursie,6.12,2.32,5.37,16,N
reis,verovering,1.29,1.24,1.53,16,N
rijkdom,bekendheid,2.46,2.79,7.8,16,N
rivier,stroom,5.33,2.91,8.45,16,N
roddel,nieuws,4.08,2.59,6.73,16,N
saai,grappig,1.91,2.28,5.18,16,A
samenwerken,aansluiten bij,3.77,2.34,5.47,16,V
schaap,vee,3.82,3.03,9.19,16,N
slecht,geweldig,1.75,2.79,7.76,16,A
slecht,vreselijk,5.91,2.69,7.22,16,A
spel,actie,3.74,3.39,11.47,16,N
spel,plezier,3.7,2.92,8.55,16,N
steak,vlees,6.13,2.85,8.12,16,N
stelen,kopen,2.73,2.88,8.3,16,V
storm,orkaan,7.09,1.99,3.95,16,N
strand,rif,2.08,2.47,6.11,16,N
student,leerling,7.77,2.15,4.64,16,N
sturen,bijwonen,1.85,1.95,3.79,16,V
telefoon,cel,2.21,3.15,9.89,16,N
tevredenstellen,pleiten,1.56,1.38,1.89,16,V
uithoudingsvermogen,kracht,5.13,3.18,10.13,16,N
vader,broer,1.97,2.74,7.52,16,N
verdienen,nemen,2.57,2.38,5.64,16,V
vereniging,maatschappij,2.92,2.64,6.95,16,N
verklaren,uitleggen,7.88,1.32,1.73,16,V
verloven,trouwen,4.94,3.36,11.3,16,V
vermenigvuldigen,delen,3.63,3.41,11.63,16,V
vernietiging,constructie,1.9,2.01,4.05,16,N
verschijnen,bijwonen,3.78,2.83,8.02,16,V
vertrekken,achterblijven,1.95,2.63,6.9,16,V
vervuiling,president,0.88,0.78,0.61,16,N
verwerven,vinden,2.7,2.2,4.82,16,V
vlees,brood,1.41,2.08,4.31,16,N
volkslied,verovering,1.36,1.99,3.96,16,N
vriend,moeder,1.78,2.71,7.35,16,N
vriend,jongen,3.37,1.96,3.84,16,N
water,zout,0.87,0.64,0.41,16,N
weg,steeg,3.54,2.63,6.93,16,N
whisky,jenever,4.06,2.87,8.26,16,N
whisky,champagne,3.02,2.85,8.14,16,N
willen,kiezen,3.56,3.08,9.52,16,V
winnaar,aanwezigheid,1.64,2.15,4.61,16,N
