word1,word2,similarity_score
bee,queen,0.39
car,bicycle,0.39
goal,quest,0.36
august,month,0.44
army,squad,0.48
cloud,weather,0.42
physician,doctor,0.64
canyon,valley,0.55
river,valley,0.49
sun,sky,0.45
target,arrow,0.38
chocolate,pie,0.27
circumstance,situation,0.68
opinion,choice,0.39
rhythm,melody,0.52
gut,nerve,0.39
day,dawn,0.5
cattle,beef,0.61
doctor,professor,0.53
arm,vein,0.26
room,bath,0.36
corporation,business,0.44
fun,football,0.42
hill,cliff,0.47
bone,ankle,0.35
apple,candy,0.38
helper,maid,0.39
leader,manager,0.55
lemon,tea,0.35
bee,ant,0.51
basketball,baseball,0.66
rice,bean,0.42
bed,furniture,0.41
emotion,passion,0.45
anarchy,chaos,0.63
crime,violation,0.41
machine,engine,0.55
beach,sea,0.48
alley,bowl,0.31
jar,bottle,0.39
strength,capability,0.45
seed,mustard,0.4
guitar,drum,0.52
opinion,idea,0.42
north,west,0.6
diet,salad,0.41
mother,wife,0.56
dad,mother,0.51
captain,sailor,0.49
meter,yard,0.38
beer,champagne,0.42
motor,boat,0.46
card,bridge,0.3
science,psychology,0.48
sinner,saint,0.53
destruction,construction,0.39
crowd,bunch,0.51
beach,reef,0.49
man,child,0.32
bread,cheese,0.45
champion,winner,0.53
celebration,ceremony,0.56
menu,order,0.42
king,princess,0.4
wealth,prestige,0.37
endurance,strength,0.46
danger,threat,0.59
god,priest,0.36
men,fraternity,0.28
buddy,companion,0.54
teacher,helper,0.42
body,stomach,0.4
tongue,throat,0.48
house,carpet,0.28
intelligence,skill,0.43
journey,conquest,0.32
god,prey,0.28
brother,soul,0.37
adversary,opponent,0.64
death,catastrophe,0.37
monster,demon,0.51
day,morning,0.46
man,victor,0.38
friend,guy,0.46
song,story,0.39
ray,sunshine,0.35
guy,stud,0.35
chicken,rice,0.35
box,elevator,0.28
butter,potato,0.42
apartment,furniture,0.43
lake,swamp,0.35
salad,vinegar,0.4
flower,bulb,0.4
cloud,mist,0.39
driver,pilot,0.49
sugar,honey,0.57
body,shoulder,0.36
idea,image,0.49
father,brother,0.52
moon,planet,0.45
ball,costume,0.24
rail,fence,0.45
room,bed,0.43
flower,bush,0.34
bone,knee,0.41
arm,knee,0.34
bottom,side,0.48
vessel,vein,0.53
cat,rabbit,0.46
meat,sandwich,0.4
belief,concept,0.44
intelligence,insight,0.43
attention,interest,0.57
attitude,confidence,0.41
right,justice,0.38
argument,agreement,0.35
depth,magnitude,0.47
medium,news,0.35
winner,candidate,0.46
birthday,date,0.55
fee,payment,0.51
bible,hymn,0.37
exit,doorway,0.32
man,sentry,0.29
aisle,hall,0.39
whiskey,gin,0.35
blood,marrow,0.34
oil,mink,0.3
floor,deck,0.46
roof,floor,0.51
door,floor,0.44
shoulder,head,0.39
wagon,carriage,0.54
car,carriage,0.52
elbow,ankle,0.55
wealth,fame,0.39
sorrow,shame,0.47
administration,management,0.66
communication,conversation,0.57
pollution,atmosphere,0.37
anatomy,biology,0.47
college,profession,0.45
book,topic,0.39
formula,equation,0.54
book,information,0.39
boy,partner,0.32
sky,universe,0.32
population,people,0.54
college,class,0.45
chief,mayor,0.46
rabbi,minister,0.41
meter,inch,0.45
polyester,cotton,0.53
lawyer,banker,0.49
violin,instrument,0.46
camp,cabin,0.43
pot,appliance,0.26
linen,fabric,0.55
whiskey,champagne,0.49
girl,child,0.48
cottage,cabin,0.63
bird,hen,0.4
racket,noise,0.38
sunset,evening,0.56
drizzle,rain,0.52
adult,baby,0.53
charcoal,coal,0.53
body,spine,0.4
head,nail,0.32
log,timber,0.36
spoon,cup,0.48
body,nerve,0.32
man,husband,0.43
bone,neck,0.37
frustration,anger,0.44
river,sea,0.46
task,job,0.57
club,society,0.37
reflection,image,0.46
prince,king,0.5
snow,weather,0.48
people,party,0.46
boy,brother,0.44
root,grass,0.33
brow,eye,0.45
money,pearl,0.31
money,diamond,0.33
vehicle,bus,0.51
cab,bus,0.51
house,barn,0.41
finger,palm,0.45
car,bridge,0.32
effort,difficulty,0.43
fact,insight,0.23
job,management,0.38
cancer,sickness,0.45
word,newspaper,0.32
composer,writer,0.51
actor,singer,0.55
shelter,hut,0.53
bathroom,kitchen,0.62
cabin,hut,0.55
door,kitchen,0.39
value,belief,0.43
wisdom,intelligence,0.45
ignorance,intelligence,0.33
happiness,luck,0.43
idea,scheme,0.55
mood,emotion,0.58
happiness,peace,0.42
despair,misery,0.53
logic,arithmetic,0.44
denial,confession,0.43
argument,criticism,0.39
aggression,hostility,0.66
hysteria,confusion,0.43
chemistry,theory,0.44
trial,verdict,0.44
comfort,safety,0.43
confidence,self,0.45
vision,perception,0.45
era,decade,0.33
biography,fiction,0.44
discussion,argument,0.48
code,symbol,0.46
danger,disease,0.38
accident,catastrophe,0.55
journey,trip,0.52
activity,movement,0.57
gossip,news,0.45
father,god,0.45
action,course,0.31
fever,illness,0.44
aviation,flight,0.52
game,action,0.41
molecule,air,0.29
home,state,0.36
word,literature,0.32
adult,guardian,0.34
newspaper,information,0.31
communication,television,0.41
cousin,uncle,0.58
author,reader,0.49
guy,partner,0.36
area,corner,0.44
ballad,song,0.5
wall,decoration,0.32
word,page,0.33
nurse,scientist,0.39
politician,president,0.45
president,mayor,0.47
book,essay,0.48
man,warrior,0.43
article,journal,0.57
breakfast,supper,0.5
crowd,parade,0.42
aisle,hallway,0.58
teacher,rabbi,0.41
hip,lip,0.51
book,article,0.52
room,cell,0.43
box,booth,0.47
daughter,kid,0.43
limb,leg,0.47
liver,lung,0.47
classroom,hallway,0.45
mountain,ledge,0.3
car,elevator,0.37
bed,couch,0.5
clothes,button,0.3
clothes,coat,0.44
kidney,organ,0.43
apple,sauce,0.34
chicken,steak,0.52
car,hose,0.32
tobacco,cigarette,0.61
student,professor,0.47
baby,daughter,0.49
pipe,cigar,0.41
milk,juice,0.52
box,cigar,0.33
apartment,hotel,0.46
cup,cone,0.47
horse,ox,0.36
throat,nose,0.38
bone,teeth,0.37
bone,elbow,0.37
bacon,bean,0.34
cup,jar,0.44
proof,fact,0.4
appointment,engagement,0.38
birthday,year,0.49
word,clue,0.34
author,creator,0.6
atom,carbon,0.5
archbishop,bishop,0.6
letter,paragraph,0.53
page,paragraph,0.52
steeple,chapel,0.52
muscle,bone,0.42
muscle,tongue,0.39
boy,soldier,0.41
belly,abdomen,0.6
guy,girl,0.55
bed,chair,0.4
clothes,jacket,0.49
gun,knife,0.46
tin,metal,0.46
bottle,container,0.47
hen,turkey,0.33
meat,bread,0.42
arm,bone,0.3
neck,spine,0.46
apple,lemon,0.42
agony,grief,0.49
assignment,task,0.58
night,dawn,0.46
dinner,soup,0.42
calf,bull,0.41
snow,storm,0.48
nail,hand,0.35
dog,horse,0.48
arm,neck,0.33
ball,glove,0.4
flu,fever,0.36
fee,salary,0.4
nerve,brain,0.45
beast,animal,0.6
dinner,chicken,0.45
girl,maid,0.35
child,boy,0.5
alcohol,wine,0.48
nose,mouth,0.36
street,car,0.36
bell,door,0.37
box,hat,0.34
belief,impression,0.39
bias,opinion,0.35
attention,awareness,0.56
anger,mood,0.43
elegance,style,0.53
beauty,age,0.27
book,theme,0.36
friend,mother,0.4
vitamin,iron,0.36
car,factory,0.36
pact,condition,0.38
chapter,choice,0.4
arithmetic,rhythm,0.34
winner,presence,0.28
belief,flower,0.28
winner,goal,0.38
trick,size,0.26
choice,vein,0.23
hymn,conquest,0.19
endurance,band,0.19
jail,choice,0.31
condition,boy,0.33
flower,endurance,0.18
hole,agreement,0.24
doctor,temper,0.2
fraternity,door,0.24
task,woman,0.23
fraternity,baseball,0.23
cent,size,0.3
presence,door,0.31
mouse,management,0.31
task,highway,0.19
liquor,century,0.17
task,straw,0.25
island,task,0.22
night,chapter,0.32
pollution,president,0.17
gun,trick,0.32
bath,trick,0.27
diet,apple,0.29
cent,wife,0.17
chapter,tail,0.28
course,stomach,0.23
hymn,straw,0.21
dentist,colonel,0.27
wife,straw,0.23
hole,wife,0.26
pupil,president,0.29
bath,wife,0.22
people,cent,0.29
formula,log,0.4
woman,fur,0.27
apple,sunshine,0.27
gun,dawn,0.25
meal,waist,0.22
camera,president,0.23
liquor,band,0.22
stomach,vein,0.29
gun,fur,0.35
couch,baseball,0.29
worker,camera,0.3
deck,mouse,0.35
rice,boy,0.27
people,gun,0.26
cliff,tail,0.28
ankle,window,0.28
princess,island,0.29
container,mouse,0.35
wagon,container,0.54
people,balloon,0.25
dollar,people,0.28
bath,balloon,0.37
stomach,bedroom,0.33
bicycle,bedroom,0.31
log,bath,0.28
bowl,tail,0.32
go,come,0.5
take,steal,0.49
listen,hear,0.61
think,rationalize,0.33
occur,happen,0.73
vanish,disappear,0.85
multiply,divide,0.55
plead,beg,0.42
begin,originate,0.37
protect,defend,0.62
kill,destroy,0.59
create,make,0.66
accept,reject,0.59
ignore,avoid,0.59
carry,bring,0.62
leave,enter,0.41
choose,elect,0.46
lose,fail,0.45
encourage,discourage,0.64
achieve,accomplish,0.79
make,construct,0.58
listen,obey,0.43
inform,notify,0.62
receive,give,0.49
borrow,beg,0.44
take,obtain,0.43
advise,recommend,0.57
imitate,portray,0.42
win,succeed,0.44
think,decide,0.42
greet,meet,0.52
agree,argue,0.42
enjoy,entertain,0.47
destroy,make,0.44
save,protect,0.52
give,lend,0.5
understand,know,0.52
take,receive,0.48
accept,acknowledge,0.6
decide,choose,0.59
accept,believe,0.42
keep,possess,0.4
roam,wander,0.65
succeed,fail,0.44
spend,save,0.35
leave,go,0.47
come,attend,0.4
know,believe,0.44
gather,meet,0.5
make,earn,0.4
forget,ignore,0.55
multiply,add,0.39
shrink,grow,0.41
arrive,leave,0.4
succeed,try,0.38
accept,deny,0.49
arrive,come,0.43
agree,differ,0.33
send,receive,0.52
win,dominate,0.4
add,divide,0.36
kill,choke,0.4
acquire,get,0.35
participate,join,0.46
leave,remain,0.53
go,enter,0.43
take,carry,0.46
forget,learn,0.4
appoint,elect,0.43
engage,marry,0.39
ask,pray,0.42
go,send,0.45
take,deliver,0.42
speak,hear,0.45
analyze,evaluate,0.73
argue,rationalize,0.34
lose,keep,0.4
compare,analyze,0.59
disorganize,organize,0.58
go,allow,0.39
take,possess,0.41
learn,listen,0.49
destroy,construct,0.5
create,build,0.61
steal,buy,0.4
kill,hang,0.42
forget,know,0.41
create,imagine,0.43
do,happen,0.4
win,accomplish,0.32
give,deny,0.33
deserve,earn,0.46
get,put,0.49
locate,find,0.6
appear,attend,0.48
know,comprehend,0.38
pretend,imagine,0.59
satisfy,please,0.34
cherish,keep,0.42
argue,differ,0.4
overcome,dominate,0.45
behave,obey,0.52
cooperate,participate,0.52
achieve,try,0.31
fail,discourage,0.27
begin,quit,0.43
say,participate,0.26
come,bring,0.47
declare,announce,0.55
read,comprehend,0.38
take,leave,0.42
proclaim,announce,0.52
acquire,obtain,0.73
conclude,decide,0.47
please,plead,0.44
argue,prove,0.44
ask,plead,0.37
find,disappear,0.22
inspect,examine,0.6
verify,justify,0.63
assume,predict,0.44
learn,evaluate,0.41
argue,justify,0.44
make,become,0.38
discover,originate,0.35
achieve,succeed,0.58
give,put,0.42
understand,listen,0.41
expand,grow,0.61
borrow,sell,0.4
keep,protect,0.57
explain,prove,0.47
assume,pretend,0.46
agree,please,0.38
forgive,forget,0.51
clarify,explain,0.48
understand,forgive,0.44
remind,forget,0.52
get,remain,0.27
realize,discover,0.47
require,inquire,0.36
ignore,ask,0.35
think,inquire,0.32
reject,avoid,0.48
argue,persuade,0.46
pursue,persuade,0.43
accept,forgive,0.42
do,quit,0.38
investigate,examine,0.66
discuss,explain,0.48
owe,lend,0.36
explore,discover,0.62
complain,argue,0.5
withdraw,reject,0.58
keep,borrow,0.39
beg,ask,0.48
arrange,organize,0.68
reduce,shrink,0.52
speak,acknowledge,0.36
give,borrow,0.41
kill,defend,0.37
disappear,shrink,0.48
deliver,carry,0.53
breathe,choke,0.4
acknowledge,notify,0.39
become,seem,0.41
pretend,seem,0.44
accomplish,become,0.38
contemplate,think,0.48
determine,predict,0.42
please,entertain,0.29
remain,retain,0.69
pretend,portray,0.45
forget,retain,0.42
want,choose,0.52
lose,get,0.28
try,think,0.4
become,appear,0.39
leave,ignore,0.41
accept,recommend,0.43
leave,wander,0.42
keep,give,0.44
give,allow,0.51
bring,send,0.46
absorb,learn,0.38
acquire,find,0.31
leave,appear,0.35
create,destroy,0.53
begin,go,0.45
get,buy,0.34
collect,save,0.43
replace,restore,0.51
join,add,0.49
join,marry,0.39
accept,deliver,0.38
attach,join,0.51
put,hang,0.4
go,sell,0.38
communicate,pray,0.31
give,steal,0.36
add,build,0.44
bring,restore,0.35
comprehend,satisfy,0.34
portray,decide,0.21
organize,become,0.33
give,know,0.4
say,verify,0.29
cooperate,join,0.37
arrange,require,0.37
borrow,want,0.4
investigate,pursue,0.5
ignore,explore,0.32
bring,complain,0.3
enter,owe,0.29
portray,notify,0.19
remind,sell,0.27
absorb,possess,0.37
join,acquire,0.3
send,attend,0.38
gather,attend,0.52
absorb,withdraw,0.34
attend,arrive,0.41
