word1,word2,SimLex999,SD(SimLex),POS
crucial,important,8.82,1.25,A
harsh,cruel,8.18,1.66,A
childish,foolish,5.5,1.45,A
scarce,rare,9.17,1.21,A
friendly,generous,5.9,0.6,A
fragile,frigid,2.38,0.84,A
long,narrow,3.57,1.62,A
big,heavy,6.18,1.54,A
rough,frigid,2.47,1.37,A
bizarre,strange,9.37,1.54,A
illegal,immoral,4.28,1.57,A
bad,guilty,4.2,1.47,A
modern,ancient,0.73,0.71,A
new,ancient,0.23,0.46,A
dull,funny,0.55,1.76,A
happy,young,2.0,0.47,A
easy,big,1.12,1.22,A
great,awful,1.17,1.53,A
tiny,huge,0.6,0.59,A
polite,proper,7.63,1.42,A
modest,ashamed,2.65,1.0,A
exotic,rare,8.05,0.93,A
dumb,clever,1.17,1.3,A
delightful,wonderful,8.65,1.29,A
noticeable,obvious,8.48,1.69,A
afraid,anxious,5.07,1.28,A
formal,proper,8.02,1.31,A
dreary,dull,8.25,1.85,A
delightful,cheerful,6.58,1.56,A
unhappy,mad,5.95,1.36,A
sad,terrible,5.4,0.44,A
sick,crazy,3.57,0.95,A
violent,angry,6.98,1.55,A
laden,heavy,5.9,1.28,A
dirty,cheap,1.6,1.1,A
elastic,flexible,7.78,1.09,A
hard,dense,5.9,1.0,A
recent,new,7.05,1.05,A
bold,proud,3.97,1.36,A
sly,strange,1.97,1.07,A
strange,sly,2.07,0.51,A
dumb,rare,0.48,1.55,A
sly,tough,0.58,1.01,A
terrific,mad,0.4,0.86,A
modest,flexible,0.98,1.89,A
fresh,wide,0.4,1.41,A
huge,dumb,0.48,0.91,A
large,flexible,0.48,1.59,A
dirty,narrow,0.3,0.89,A
wife,husband,2.3,0.84,N
book,text,6.35,1.43,N
groom,bride,3.17,0.68,N
night,day,1.88,1.17,N
south,north,2.2,0.59,N
plane,airport,3.65,1.07,N
uncle,aunt,5.5,1.63,N
horse,mare,8.33,0.73,N
bottom,top,0.7,1.16,N
friend,buddy,8.78,0.93,N
student,pupil,9.35,1.11,N
world,globe,6.67,0.67,N
leg,arm,2.88,0.79,N
plane,jet,8.1,1.24,N
woman,man,3.33,1.42,N
horse,colt,7.07,0.84,N
actress,actor,7.12,1.3,N
teacher,instructor,9.25,1.53,N
movie,film,8.87,1.72,N
bird,hawk,7.85,0.91,N
word,dictionary,3.68,1.56,N
money,salary,7.88,1.11,N
dog,cat,1.75,1.3,N
area,region,9.47,0.58,N
navy,army,6.43,0.53,N
book,literature,7.53,0.45,N
clothes,closet,3.27,1.29,N
sunset,sunrise,2.47,1.12,N
child,adult,2.98,1.48,N
cow,cattle,9.52,0.79,N
book,story,5.63,0.78,N
winter,summer,2.38,0.47,N
taxi,cab,9.2,1.23,N
tree,maple,5.53,1.19,N
bed,bedroom,3.4,1.25,N
roof,ceiling,7.58,0.77,N
disease,infection,7.15,1.08,N
arm,shoulder,4.85,1.81,N
sheep,lamb,8.42,1.51,N
lady,gentleman,3.42,1.08,N
boat,anchor,2.25,1.1,N
priest,monk,6.28,0.61,N
toe,finger,4.68,0.55,N
river,stream,7.3,0.81,N
anger,fury,8.73,1.89,N
date,calendar,4.42,1.5,N
sea,ocean,8.27,1.3,N
second,minute,4.62,1.15,N
hand,thumb,3.88,0.44,N
wood,log,7.3,0.87,N
mud,dirt,7.32,0.48,N
hallway,corridor,9.28,0.76,N
way,manner,7.62,0.44,N
mouse,cat,1.12,1.02,N
cop,sheriff,9.05,1.55,N
death,burial,4.93,1.88,N
music,melody,6.98,1.36,N
beer,alcohol,7.5,1.07,N
mouth,lip,7.1,1.4,N
storm,hurricane,6.38,0.9,N
tax,income,2.38,1.15,N
flower,violet,6.95,1.72,N
paper,cardboard,5.38,1.22,N
floor,ceiling,1.73,0.97,N
beach,seashore,8.33,0.47,N
rod,curtain,3.03,0.39,N
hound,fox,2.38,1.36,N
street,alley,5.48,1.62,N
boat,deck,4.28,1.39,N
car,horn,2.57,0.79,N
friend,guest,4.25,1.41,N
employer,employee,3.65,0.95,N
hand,wrist,3.97,1.32,N
ball,cannon,2.58,1.82,N
alcohol,brandy,6.98,0.57,N
victory,triumph,8.98,0.94,N
telephone,booth,3.63,1.1,N
door,doorway,5.4,1.86,N
motel,inn,8.17,0.39,N
clothes,cloth,5.47,1.43,N
steak,meat,7.47,1.34,N
nail,thumb,3.55,1.16,N
band,orchestra,7.08,1.36,N
book,bible,5.0,1.43,N
business,industry,7.02,1.1,N
winter,season,6.27,1.76,N
decade,century,3.48,1.36,N
alcohol,gin,8.65,1.17,N
hat,coat,2.67,1.76,N
window,door,3.33,1.6,N
arm,wrist,3.57,1.33,N
house,apartment,5.8,1.4,N
glass,crystal,6.27,1.48,N
wine,brandy,5.15,1.67,N
creator,maker,9.62,1.4,N
dinner,breakfast,3.33,1.72,N
arm,muscle,3.72,0.83,N
bubble,suds,8.57,1.59,N
bread,flour,3.33,1.25,N
death,tragedy,5.8,1.13,N
absence,presence,0.4,1.5,N
gun,cannon,5.68,1.56,N
grass,blade,4.57,1.53,N
ball,basket,1.67,1.08,N
hose,garden,1.67,1.1,N
boy,kid,7.5,1.44,N
church,choir,2.95,1.43,N
clothes,drawer,3.02,1.49,N
tower,bell,1.9,1.41,N
father,parent,7.07,1.06,N
school,grade,4.42,1.32,N
parent,adult,5.37,1.6,N
bar,jail,1.9,1.12,N
car,highway,3.4,1.77,N
dictionary,definition,6.25,1.06,N
door,cellar,1.97,1.47,N
army,legion,5.95,1.29,N
metal,aluminum,7.25,1.76,N
chair,bench,6.67,1.22,N
cloud,fog,6.0,1.04,N
boy,son,6.75,0.88,N
water,ice,6.47,1.66,N
bed,blanket,3.02,1.48,N
attorney,lawyer,9.35,1.4,N
area,zone,8.33,0.89,N
business,company,9.02,0.47,N
clothes,fabric,5.87,1.66,N
sweater,jacket,7.15,1.13,N
money,capital,6.67,0.97,N
hand,foot,4.17,1.41,N
alcohol,cocktail,6.73,1.2,N
yard,inch,3.78,1.4,N
molecule,atom,6.45,1.56,N
lens,camera,4.28,1.89,N
meal,dinner,7.15,2.0,N
eye,tear,3.55,1.48,N
god,devil,1.8,1.1,N
loop,belt,3.1,1.74,N
rat,mouse,7.78,0.93,N
motor,engine,8.65,1.47,N
car,cab,7.42,1.15,N
cat,lion,6.75,0.84,N
size,magnitude,6.33,0.59,N
reality,fantasy,1.03,0.89,N
door,gate,5.25,1.47,N
cat,pet,5.95,1.41,N
tin,aluminum,6.42,1.3,N
bone,jaw,4.17,0.44,N
cereal,wheat,3.75,1.72,N
house,key,1.9,1.09,N
blood,flesh,4.28,1.74,N
door,corridor,3.73,1.11,N
god,spirit,7.3,1.63,N
capability,competence,7.62,0.84,N
abundance,plenty,8.97,1.02,N
sofa,chair,6.67,1.56,N
wall,brick,4.68,1.16,N
horn,drum,2.68,0.47,N
organ,liver,6.15,1.12,N
strength,might,7.07,0.8,N
phrase,word,5.48,1.73,N
band,parade,3.92,1.74,N
stomach,waist,5.9,1.49,N
cloud,storm,5.6,1.47,N
joy,pride,5.0,0.9,N
noise,rattle,6.17,1.33,N
rain,mist,5.97,1.83,N
beer,beverage,5.42,1.34,N
man,uncle,3.92,1.36,N
apple,juice,2.88,1.65,N
intelligence,logic,6.5,1.2,N
communication,language,7.47,1.09,N
mink,fur,6.83,0.39,N
mob,crowd,7.85,1.2,N
shore,coast,8.83,1.53,N
wire,cord,7.62,1.35,N
bird,turkey,6.58,1.6,N
bed,crib,7.3,1.56,N
competence,ability,7.5,0.6,N
cloud,haze,7.32,1.68,N
supper,meal,7.53,0.47,N
bar,cage,2.8,0.51,N
water,salt,1.3,0.94,N
sense,intuition,7.68,1.24,N
situation,condition,6.58,1.41,N
crime,theft,7.53,1.32,N
style,fashion,8.5,0.87,N
boundary,border,9.08,0.44,N
arm,body,4.05,0.51,N
boat,car,2.37,1.17,N
sandwich,lunch,6.3,1.53,N
bride,princess,2.8,0.92,N
heroine,hero,8.78,1.79,N
car,gauge,1.13,1.47,N
insect,bee,6.07,1.34,N
crib,cradle,8.55,1.15,N
animal,person,3.05,1.38,N
marijuana,herb,6.5,0.59,N
bed,hospital,0.92,1.35,N
cheek,tongue,4.52,0.47,N
disc,computer,3.2,0.44,N
curve,angle,3.33,1.51,N
grass,moss,5.0,1.27,N
school,law,1.13,1.49,N
foot,head,2.3,0.62,N
mother,guardian,6.5,1.13,N
orthodontist,dentist,8.27,1.47,N
alcohol,whiskey,7.27,1.19,N
mouth,tooth,6.3,1.39,N
breakfast,bacon,4.37,1.46,N
bathroom,bedroom,3.4,1.73,N
plate,bowl,5.23,1.46,N
meat,bacon,5.8,1.5,N
air,helium,3.63,1.59,N
worker,employer,5.37,1.4,N
body,chest,4.45,1.45,N
son,father,3.82,1.75,N
heart,surgery,1.08,1.07,N
woman,secretary,1.98,1.6,N
man,father,4.83,1.62,N
beach,island,5.6,0.39,N
story,topic,5.0,1.7,N
game,fun,3.42,2.07,N
weekend,week,4.0,1.57,N
couple,pair,8.33,1.5,N
woman,wife,5.72,1.35,N
sheep,cattle,4.77,0.47,N
purse,bag,8.33,1.39,N
ceiling,cathedral,2.42,1.57,N
bean,coffee,5.15,1.52,N
wood,paper,2.88,1.55,N
top,side,1.9,1.29,N
crime,fraud,5.65,1.18,N
pain,harm,5.38,0.95,N
lover,companion,5.97,0.8,N
evening,dusk,7.78,1.32,N
father,daughter,2.62,1.69,N
wine,liquor,7.85,0.78,N
cow,goat,2.93,0.59,N
belief,opinion,7.7,1.24,N
reality,illusion,1.42,1.36,N
pact,agreement,9.02,1.2,N
wealth,poverty,1.27,1.47,N
accident,emergency,4.93,0.49,N
battle,conquest,7.22,0.89,N
friend,teacher,2.62,1.29,N
illness,infection,6.9,1.28,N
game,trick,2.32,1.02,N
brother,son,3.48,1.61,N
aunt,nephew,3.1,1.31,N
worker,mechanic,4.92,1.2,N
doctor,orthodontist,5.58,1.25,N
oak,maple,6.03,0.39,N
bee,queen,3.27,1.2,N
car,bicycle,3.47,1.68,N
goal,quest,5.83,1.31,N
august,month,5.53,1.54,N
army,squad,5.08,1.61,N
cloud,weather,4.87,0.94,N
physician,doctor,8.88,1.5,N
canyon,valley,6.75,1.39,N
river,valley,1.67,1.23,N
sun,sky,2.27,1.67,N
target,arrow,3.25,1.74,N
chocolate,pie,2.27,1.79,N
circumstance,situation,7.85,1.31,N
opinion,choice,5.43,1.5,N
rhythm,melody,6.12,1.27,N
gut,nerve,4.93,1.65,N
day,dawn,5.47,1.45,N
cattle,beef,7.03,1.53,N
doctor,professor,4.65,1.19,N
arm,vein,3.65,1.62,N
room,bath,3.33,0.49,N
corporation,business,9.02,1.44,N
fun,football,1.97,1.43,N
hill,cliff,4.28,1.26,N
bone,ankle,3.82,0.69,N
apple,candy,2.08,0.75,N
helper,maid,5.58,0.44,N
leader,manager,7.27,1.43,N
lemon,tea,1.6,1.33,N
bee,ant,2.78,1.04,N
basketball,baseball,4.92,0.93,N
rice,bean,2.72,1.27,N
bed,furniture,6.08,0.84,N
emotion,passion,7.72,1.3,N
anarchy,chaos,7.93,1.35,N
crime,violation,7.12,0.87,N
machine,engine,5.58,1.95,N
beach,sea,4.68,1.08,N
alley,bowl,1.53,0.51,N
jar,bottle,7.83,1.44,N
strength,capability,5.28,1.33,N
seed,mustard,3.48,0.59,N
guitar,drum,3.78,1.72,N
opinion,idea,5.7,1.29,N
north,west,3.63,1.6,N
diet,salad,2.98,1.6,N
mother,wife,3.02,1.62,N
dad,mother,3.55,1.44,N
captain,sailor,5.0,1.43,N
meter,yard,5.6,1.32,N
beer,champagne,4.45,1.2,N
motor,boat,2.57,1.45,N
card,bridge,1.97,1.69,N
science,psychology,4.92,1.91,N
sinner,saint,1.6,1.39,N
destruction,construction,0.98,1.69,N
crowd,bunch,7.42,1.37,N
beach,reef,3.77,1.85,N
man,child,4.13,1.34,N
bread,cheese,1.95,1.52,N
champion,winner,8.73,1.15,N
celebration,ceremony,7.72,0.61,N
menu,order,3.62,1.42,N
king,princess,3.27,1.7,N
wealth,prestige,6.07,1.55,N
endurance,strength,6.58,0.59,N
danger,threat,8.78,1.56,N
god,priest,4.5,1.2,N
men,fraternity,3.13,1.11,N
buddy,companion,8.65,1.64,N
teacher,helper,4.28,1.65,N
body,stomach,3.93,1.15,N
tongue,throat,3.1,1.31,N
house,carpet,1.38,1.44,N
intelligence,skill,5.35,1.29,N
journey,conquest,4.72,1.12,N
god,prey,1.23,1.73,N
brother,soul,0.97,1.18,N
adversary,opponent,9.05,1.4,N
death,catastrophe,4.13,1.46,N
monster,demon,6.95,1.5,N
day,morning,4.87,1.95,N
man,victor,1.9,1.67,N
friend,guy,3.88,1.49,N
song,story,3.97,1.27,N
ray,sunshine,6.83,1.55,N
guy,stud,5.83,1.7,N
chicken,rice,1.43,1.47,N
box,elevator,1.32,1.28,N
butter,potato,1.22,1.19,N
apartment,furniture,1.28,1.72,N
lake,swamp,4.92,1.6,N
salad,vinegar,1.13,1.65,N
flower,bulb,4.48,1.27,N
cloud,mist,6.67,1.43,N
driver,pilot,6.28,1.52,N
sugar,honey,5.13,1.07,N
body,shoulder,2.88,1.47,N
idea,image,3.55,1.47,N
father,brother,4.2,1.28,N
moon,planet,5.87,1.57,N
ball,costume,2.32,1.02,N
rail,fence,5.22,1.17,N
room,bed,2.35,1.31,N
flower,bush,4.25,1.66,N
bone,knee,4.17,1.64,N
arm,knee,2.75,0.59,N
bottom,side,2.63,1.51,N
vessel,vein,5.15,1.55,N
cat,rabbit,2.37,1.67,N
meat,sandwich,2.35,1.69,N
belief,concept,5.08,1.44,N
intelligence,insight,5.9,1.59,N
attention,interest,7.22,1.21,N
attitude,confidence,4.35,1.22,N
right,justice,7.05,1.52,N
argument,agreement,1.45,1.36,N
depth,magnitude,6.12,1.64,N
medium,news,3.65,1.3,N
winner,candidate,2.78,1.29,N
birthday,date,5.08,1.2,N
fee,payment,7.15,1.56,N
bible,hymn,5.15,1.08,N
exit,doorway,5.5,1.73,N
man,sentry,3.25,1.22,N
aisle,hall,6.35,0.96,N
whiskey,gin,6.28,1.14,N
blood,marrow,3.4,1.17,N
oil,mink,1.23,1.53,N
floor,deck,5.55,1.06,N
roof,floor,2.62,1.66,N
door,floor,1.67,0.39,N
shoulder,head,3.42,1.14,N
wagon,carriage,7.7,1.84,N
car,carriage,5.13,1.2,N
elbow,ankle,3.13,1.48,N
wealth,fame,4.02,1.1,N
sorrow,shame,4.77,1.52,N
administration,management,7.25,1.67,N
communication,conversation,8.02,0.88,N
pollution,atmosphere,4.25,0.98,N
anatomy,biology,5.33,1.37,N
college,profession,3.12,1.41,N
book,topic,2.07,1.22,N
formula,equation,7.95,0.56,N
book,information,5.0,1.13,N
boy,partner,1.9,1.54,N
sky,universe,4.68,1.39,N
population,people,7.68,0.8,N
college,class,4.13,1.16,N
chief,mayor,4.85,1.25,N
rabbi,minister,7.62,1.35,N
meter,inch,5.08,1.19,N
polyester,cotton,5.63,1.53,N
lawyer,banker,1.88,1.18,N
violin,instrument,6.58,1.39,N
camp,cabin,4.2,1.2,N
pot,appliance,2.53,1.26,N
linen,fabric,7.47,1.26,N
whiskey,champagne,5.33,1.29,N
girl,child,5.38,1.21,N
cottage,cabin,7.72,1.47,N
bird,hen,7.03,1.43,N
racket,noise,8.1,1.49,N
sunset,evening,5.98,1.35,N
drizzle,rain,9.17,0.39,N
adult,baby,2.22,0.39,N
charcoal,coal,7.63,1.43,N
body,spine,4.78,1.22,N
head,nail,2.47,1.4,N
log,timber,8.05,1.12,N
spoon,cup,2.02,0.9,N
body,nerve,3.13,1.12,N
man,husband,5.32,1.71,N
bone,neck,2.53,1.05,N
frustration,anger,6.5,0.39,N
river,sea,5.72,0.39,N
task,job,8.87,1.75,N
club,society,5.23,1.59,N
reflection,image,7.27,1.06,N
prince,king,5.92,1.05,N
snow,weather,5.48,1.36,N
people,party,2.2,1.42,N
boy,brother,6.67,1.58,N
root,grass,3.55,1.35,N
brow,eye,3.82,1.41,N
money,pearl,2.1,1.94,N
money,diamond,3.42,1.37,N
vehicle,bus,6.47,1.38,N
cab,bus,5.6,1.64,N
house,barn,4.33,1.6,N
finger,palm,3.33,1.5,N
car,bridge,0.95,1.2,N
effort,difficulty,4.45,1.22,N
fact,insight,4.77,1.11,N
job,management,3.97,1.33,N
cancer,sickness,7.93,1.57,N
word,newspaper,2.47,0.94,N
composer,writer,6.58,0.8,N
actor,singer,4.52,1.26,N
shelter,hut,6.47,1.59,N
bathroom,kitchen,3.1,1.22,N
cabin,hut,6.53,1.37,N
door,kitchen,1.67,0.44,N
value,belief,7.07,0.95,N
wisdom,intelligence,7.47,1.33,N
ignorance,intelligence,1.5,1.3,N
happiness,luck,2.38,1.2,N
idea,scheme,6.75,1.47,N
mood,emotion,8.12,1.64,N
happiness,peace,6.03,1.35,N
despair,misery,7.22,1.06,N
logic,arithmetic,3.97,1.81,N
denial,confession,1.03,1.64,N
argument,criticism,5.08,1.07,N
aggression,hostility,8.48,0.44,N
hysteria,confusion,6.33,0.44,N
chemistry,theory,3.17,1.4,N
trial,verdict,3.33,1.18,N
comfort,safety,5.8,1.21,N
confidence,self,3.12,1.24,N
vision,perception,6.88,1.31,N
era,decade,5.4,1.02,N
biography,fiction,1.38,1.24,N
discussion,argument,5.48,1.43,N
code,symbol,6.03,1.67,N
danger,disease,3.0,0.44,N
accident,catastrophe,5.9,1.63,N
journey,trip,8.88,1.14,N
activity,movement,7.15,1.1,N
gossip,news,5.22,1.21,N
father,god,3.57,1.31,N
action,course,5.45,1.75,N
fever,illness,7.65,1.54,N
aviation,flight,8.18,1.83,N
game,action,4.85,1.12,N
molecule,air,3.05,1.84,N
home,state,2.58,1.6,N
word,literature,4.77,0.59,N
adult,guardian,6.9,1.19,N
newspaper,information,5.65,1.31,N
communication,television,5.6,1.27,N
cousin,uncle,4.63,1.84,N
author,reader,1.6,1.47,N
guy,partner,3.57,1.24,N
area,corner,2.07,1.41,N
ballad,song,7.53,0.84,N
wall,decoration,2.62,0.89,N
word,page,2.92,0.99,N
nurse,scientist,2.08,1.06,N
politician,president,7.38,1.05,N
president,mayor,5.68,1.4,N
book,essay,4.72,1.3,N
man,warrior,4.72,1.03,N
article,journal,6.18,1.45,N
breakfast,supper,4.4,1.47,N
crowd,parade,3.93,1.05,N
aisle,hallway,6.75,1.36,N
teacher,rabbi,4.37,1.12,N
hip,lip,1.43,1.45,N
book,article,5.43,0.95,N
room,cell,4.58,1.28,N
box,booth,3.8,1.38,N
daughter,kid,4.17,1.24,N
limb,leg,6.9,1.23,N
liver,lung,2.7,1.38,N
classroom,hallway,2.0,1.23,N
mountain,ledge,3.73,1.21,N
car,elevator,1.03,1.19,N
bed,couch,3.42,1.85,N
clothes,button,2.3,1.44,N
clothes,coat,5.35,1.37,N
kidney,organ,6.17,0.95,N
apple,sauce,1.43,2.11,N
chicken,steak,3.73,1.39,N
car,hose,0.87,0.78,N
tobacco,cigarette,7.5,1.49,N
student,professor,1.95,1.13,N
baby,daughter,5.0,1.29,N
pipe,cigar,6.03,1.01,N
milk,juice,4.05,1.46,N
box,cigar,1.25,1.89,N
apartment,hotel,3.33,1.18,N
cup,cone,3.17,1.13,N
horse,ox,3.02,1.18,N
throat,nose,2.8,1.12,N
bone,teeth,4.17,1.92,N
bone,elbow,3.78,1.58,N
bacon,bean,1.22,0.92,N
cup,jar,5.13,1.17,N
proof,fact,7.3,1.7,N
appointment,engagement,6.75,1.59,N
birthday,year,1.67,1.69,N
word,clue,2.53,1.65,N
author,creator,8.02,1.5,N
atom,carbon,3.1,0.93,N
archbishop,bishop,7.05,1.59,N
letter,paragraph,4.0,1.12,N
page,paragraph,3.03,1.37,N
steeple,chapel,7.08,1.03,N
muscle,bone,3.65,1.68,N
muscle,tongue,5.0,1.65,N
boy,soldier,2.15,1.51,N
belly,abdomen,8.13,1.53,N
guy,girl,3.33,1.9,N
bed,chair,3.5,1.26,N
clothes,jacket,5.15,0.74,N
gun,knife,3.65,1.03,N
tin,metal,5.63,1.15,N
bottle,container,7.93,1.38,N
hen,turkey,6.13,1.6,N
meat,bread,1.67,1.62,N
arm,bone,3.83,1.94,N
neck,spine,5.32,1.16,N
apple,lemon,4.05,1.58,N
agony,grief,7.63,1.94,N
assignment,task,8.7,1.37,N
night,dawn,2.95,1.53,N
dinner,soup,3.72,1.89,N
calf,bull,4.93,1.67,N
snow,storm,4.8,0.88,N
nail,hand,3.42,1.14,N
dog,horse,2.38,1.39,N
arm,neck,1.58,0.72,N
ball,glove,1.75,1.27,N
flu,fever,6.08,1.58,N
fee,salary,3.72,1.26,N
nerve,brain,3.88,1.74,N
beast,animal,7.83,1.64,N
dinner,chicken,2.85,1.5,N
girl,maid,2.93,0.9,N
child,boy,5.75,1.82,N
alcohol,wine,7.42,1.53,N
nose,mouth,3.73,1.5,N
street,car,2.38,1.16,N
bell,door,2.2,1.46,N
box,hat,1.3,1.15,N
belief,impression,5.95,0.72,N
bias,opinion,5.6,1.16,N
attention,awareness,8.73,1.64,N
anger,mood,4.1,1.87,N
elegance,style,5.72,1.76,N
beauty,age,1.58,1.54,N
book,theme,2.58,0.81,N
friend,mother,2.53,1.54,N
vitamin,iron,5.55,1.14,N
car,factory,2.75,1.43,N
pact,condition,2.45,1.59,N
chapter,choice,0.48,0.86,N
arithmetic,rhythm,2.35,2.08,N
winner,presence,1.08,1.12,N
belief,flower,0.4,1.19,N
winner,goal,3.23,1.67,N
trick,size,0.48,0.59,N
choice,vein,0.98,1.11,N
hymn,conquest,0.68,0.88,N
endurance,band,0.4,0.44,N
jail,choice,1.08,1.08,N
condition,boy,0.48,0.8,N
flower,endurance,0.4,1.7,N
hole,agreement,0.3,1.72,N
doctor,temper,0.48,1.44,N
fraternity,door,0.68,0.94,N
task,woman,0.68,0.34,N
fraternity,baseball,0.88,0.98,N
cent,size,0.4,1.24,N
presence,door,0.48,0.83,N
mouse,management,0.48,1.59,N
task,highway,0.48,1.34,N
liquor,century,0.4,1.31,N
task,straw,0.68,1.53,N
island,task,0.3,0.96,N
night,chapter,0.48,0.92,N
pollution,president,0.68,1.6,N
gun,trick,0.48,1.41,N
bath,trick,0.58,1.28,N
diet,apple,1.18,1.56,N
cent,wife,0.58,1.7,N
chapter,tail,0.3,1.57,N
course,stomach,0.58,0.87,N
hymn,straw,0.4,1.64,N
dentist,colonel,0.4,1.7,N
wife,straw,0.4,1.53,N
hole,wife,0.68,1.18,N
pupil,president,0.78,1.28,N
bath,wife,0.48,1.42,N
people,cent,0.48,1.61,N
formula,log,1.77,1.51,N
woman,fur,0.58,0.99,N
apple,sunshine,0.58,1.2,N
gun,dawn,1.18,1.57,N
meal,waist,0.98,1.58,N
camera,president,0.48,1.56,N
liquor,band,0.68,0.91,N
stomach,vein,2.35,1.2,N
gun,fur,0.3,1.8,N
couch,baseball,0.88,1.32,N
worker,camera,0.68,1.21,N
deck,mouse,0.48,1.48,N
rice,boy,0.4,1.72,N
people,gun,0.68,1.47,N
cliff,tail,0.3,1.57,N
ankle,window,0.3,1.8,N
princess,island,0.3,1.36,N
container,mouse,0.3,0.95,N
wagon,container,2.65,0.85,N
people,balloon,0.48,1.96,N
dollar,people,0.4,1.42,N
bath,balloon,0.4,1.41,N
stomach,bedroom,0.4,0.97,N
bicycle,bedroom,0.4,1.47,N
log,bath,0.4,1.63,N
bowl,tail,0.48,1.0,N
go,come,2.42,1.51,V
take,steal,6.18,1.69,V
listen,hear,8.17,1.72,V
think,rationalize,8.25,1.13,V
occur,happen,9.32,1.34,V
vanish,disappear,9.8,0.46,V
multiply,divide,1.75,1.32,V
plead,beg,9.08,1.26,V
begin,originate,8.2,0.75,V
protect,defend,9.13,1.29,V
kill,destroy,5.9,1.93,V
create,make,8.72,1.14,V
accept,reject,0.83,1.28,V
ignore,avoid,6.87,1.22,V
carry,bring,5.8,1.24,V
leave,enter,0.95,1.91,V
choose,elect,7.62,1.14,V
lose,fail,7.33,1.79,V
encourage,discourage,1.58,1.55,V
achieve,accomplish,8.57,0.94,V
make,construct,8.33,0.85,V
listen,obey,4.93,1.33,V
inform,notify,9.25,0.44,V
receive,give,1.47,1.19,V
borrow,beg,2.62,1.89,V
take,obtain,7.1,1.01,V
advise,recommend,8.1,1.6,V
imitate,portray,6.75,1.13,V
win,succeed,7.9,1.83,V
think,decide,5.13,1.4,V
greet,meet,6.17,1.73,V
agree,argue,0.77,1.68,V
enjoy,entertain,5.92,1.27,V
destroy,make,1.6,1.72,V
save,protect,6.58,0.44,V
give,lend,7.22,0.93,V
understand,know,7.47,1.26,V
take,receive,5.08,0.48,V
accept,acknowledge,6.88,1.63,V
decide,choose,8.87,1.26,V
accept,believe,6.75,1.61,V
keep,possess,8.27,0.8,V
roam,wander,8.83,0.89,V
succeed,fail,0.83,1.44,V
spend,save,0.55,1.06,V
leave,go,7.63,1.49,V
come,attend,8.1,1.6,V
know,believe,5.5,1.18,V
gather,meet,7.3,0.59,V
make,earn,7.62,1.92,V
forget,ignore,3.07,1.25,V
multiply,add,2.7,1.8,V
shrink,grow,0.23,1.2,V
arrive,leave,1.33,1.48,V
succeed,try,3.98,1.35,V
accept,deny,1.75,1.41,V
arrive,come,7.05,1.56,V
agree,differ,1.05,1.53,V
send,receive,1.08,1.53,V
win,dominate,5.68,1.74,V
add,divide,2.3,1.25,V
kill,choke,4.92,1.48,V
acquire,get,8.82,0.94,V
participate,join,7.7,1.69,V
leave,remain,2.53,1.36,V
go,enter,4.0,1.43,V
take,carry,5.23,0.44,V
forget,learn,1.18,1.65,V
appoint,elect,8.17,1.51,V
engage,marry,5.43,1.12,V
ask,pray,3.72,1.63,V
go,send,3.75,0.77,V
