word1,word2,SimLex999,Std Deviation,POS
geloof,mening,5.05,3.0,N
werkelijkheid,illusie,2.98,2.77,N
overeenkomst,voorwaarde,4.39,3.13,N
rijkdom,armoede,2.56,2.91,N
ongeval,noodgeval,5.8,2.78,N
strijd,verovering,5.56,2.4,N
vriend,leraar,1.51,2.17,N
ziekte,besmetting,6.18,2.52,N
spel,truc,3.52,2.75,N
broer,zoon,2.89,2.28,N
tante,neef,2.33,2.52,N
arbeider,monteur,4.25,3.1,N
dokter,orthodontist,2.54,2.51,N
eikenboom,esdoorn,4.8,2.78,N
bij,koningin,2.95,2.9,N
auto,fiets,3.02,2.43,N
doelwit,zoektocht,1.91,1.87,N
augustus,maand,3.9,2.7,N
leger,ploeg,2.8,2.43,N
wolk,weer,1.94,1.95,N
arts,dokter,9.28,0.88,N
ravijn,vallei,6.08,2.31,N
rivier,vallei,2.58,2.65,N
zon,lucht,3.28,3.23,N
doel,pijl,4.02,3.08,N
chocolade,taart,2.32,2.13,N
omstandigheid,situatie,7.51,2.06,N
mening,keuze,3.29,2.34,N
ritme,melodie,5.65,2.92,N
darm,zenuw,1.18,1.83,N
dag,dageraad,4.09,3.36,N
vee,rundvlees,3.59,3.12,N
dokter,professor,4.68,2.6,N
arm,ader,2.05,2.38,N
kamer,bad,1.31,1.54,N
onderneming,bedrijf,7.95,2.16,N
plezier,voetbal,1.86,2.7,N
heuvel,cliff,3.55,2.89,N
botten,enkel,1.93,2.03,N
appel,snoep,1.69,2.08,N
helper,huishulp,5.37,2.75,N
leider,manager,7.14,2.48,N
citroen,thee,1.7,2.0,N
bij,mier,1.93,2.46,N
basketbal,honkbal,2.53,2.6,N
rijst,boon,2.13,2.02,N
bed,meubels,3.31,2.53,N
emotie,passie,5.09,2.49,N
anarchie,chaos,3.65,2.87,N
misdaad,overtreding,6.31,2.54,N
machine,aandrijving,3.02,2.51,N
strand,zee,4.62,3.39,N
steeg,kom,0.82,1.21,N
pot,fles,2.25,2.05,N
kracht,vermogen,6.92,1.87,N
zaad,mosterd,1.88,1.93,N
gitaar,drumstel,2.45,2.46,N
mening,idee,5.32,2.65,N
noord,west,1.83,2.39,N
dieet,salade,3.82,3.49,N
moeder,vrouw,5.3,3.0,N
vader,moeder,5.4,3.2,N
kapitein,matroos,4.25,3.18,N
meter,decimeter,3.28,2.48,N
bier,champagne,1.99,2.28,N
motor,boot,3.55,2.32,N
kaart,brug,2.32,2.95,N
wetenschap,psychologie,3.16,2.84,N
zondaar,heilige,1.57,1.92,N
vernietiging,constructie,1.9,2.01,N
menigte,massa,8.29,1.43,N
strand,rif,2.08,2.47,N
man,kind,1.85,2.23,N
brood,kaas,2.62,3.18,N
kampioen,winnaar,8.16,1.3,N
feest,ceremonie,5.23,2.51,N
menu,bestelling,3.02,2.44,N
koning,prinses,2.26,2.9,N
rijkdom,aanzien,3.08,2.13,N
uithoudingsvermogen,kracht,5.13,3.18,N
gevaar,bedreiging,7.87,1.17,N
god,priester,2.51,2.79,N
mannen,broederschap,2.74,2.26,N
vriend,partner,5.84,1.97,N
leraar,helper,4.27,2.94,N
lichaam,buik,2.03,1.73,N
tong,keel,1.82,2.44,N
huis,tapijt,1.74,2.14,N
intelligentie,vaardigheid,2.87,2.05,N
reis,verovering,1.29,1.24,N
god,prooi,0.72,1.15,N
broer,ziel,2.34,2.8,N
tegenstander,rivaal,7.56,2.02,N
dood,ramp,3.2,2.12,N
monster,demon,7.05,2.05,N
dag,ochtend,3.5,2.71,N
man,winnaar,1.61,1.96,N
vriend,jongen,3.37,1.96,N
lied,verhaal,3.49,3.04,N
straal,zonneschijn,4.99,3.06,N
kerel,hengst,2.43,2.92,N
kip,rijst,1.93,2.43,N
doos,lift,0.79,0.73,N
boter,aardappel,1.04,1.11,N
appartement,meubels,2.82,2.35,N
meer,moeras,1.91,2.02,N
sla,azijn,2.56,2.46,N
bloem,bol,3.34,2.54,N
wolk,waas,4.77,2.36,N
chauffeur,piloot,5.59,2.72,N
suiker,honing,3.32,2.22,N
lichaam,schouder,2.59,2.21,N
idee,beeld,5.46,3.14,N
vader,broer,1.97,2.74,N
maan,planeet,4.28,3.37,N
bal,handschoen,1.84,2.26,N
rails,hek,4.07,2.51,N
kamer,bed,1.89,2.1,N
bloem,struik,3.78,2.06,N
botten,knie,3.19,2.62,N
arm,knie,1.63,1.84,N
onderkant,zijkant,2.15,2.23,N
vat,ader,4.59,3.68,N
kat,konijn,2.85,2.15,N
vlees,spek,4.94,2.64,N
geloof,begrip,5.42,2.79,N
intelligentie,inzicht,4.66,2.95,N
aandacht,interesse,8.13,1.32,N
houding,zelfvertrouwen,3.49,3.39,N
recht,rechtvaardigheid,5.13,2.77,N
argument,overeenkomst,1.5,0.98,N
diepte,omvang,1.35,1.81,N
medium,nieuws,4.03,2.99,N
winnaar,kandidaat,1.68,1.9,N
verjaardag,datum,3.95,2.66,N
vergoeding,betaling,6.67,2.56,N
bijbel,psalm,2.04,2.18,N
uitgang,deuropening,4.64,2.65,N
man,schildwacht,1.48,1.46,N
gangpad,hal,6.03,3.07,N
whisky,jenever,4.06,2.87,N
bloed,merg,2.43,2.41,N
olie,nerts,1.81,1.45,N
vloer,dek,3.77,3.33,N
dak,vloer,1.15,0.79,N
deur,vloer,1.55,2.03,N
schouder,hoofd,2.95,3.17,N
wagen,rijtuig,7.05,2.54,N
auto,rijtuig,6.3,2.79,N
elleboog,enkel,2.74,2.39,N
rijkdom,bekendheid,2.46,2.79,N
verdriet,schaamte,1.87,2.4,N
administratie,management,3.28,2.83,N
communicatie,gesprek,6.98,1.7,N
vervuiling,atmosfeer,4.08,3.5,N
anatomie,biologie,5.93,2.87,N
hogeschool,beroep,3.3,2.91,N
boek,onderwerp,2.22,2.53,N
formule,vergelijking,5.63,2.95,N
boek,informatie,4.88,2.66,N
jongen,partner,2.57,3.16,N
hemel,universum,5.49,2.97,N
bevolking,mensen,6.8,1.78,N
hogeschool,klas,3.07,2.42,N
leider,burgemeester,4.16,3.34,N
rabbijn,geestelijke,4.98,2.89,N
meter,centimeter,5.05,3.74,N
polyester,katoen,2.23,2.46,N
advocaat,bankier,2.83,2.73,N
viool,instrument,3.86,2.62,N
opslagplaats,hut,2.47,1.98,N
pot,huishoudelijk apparaat,2.36,2.35,N
linnen,stof,5.48,2.9,N
whisky,champagne,3.02,2.85,N
meisje,kind,3.94,2.53,N
hut,huisje,6.41,1.96,N
vogel,kip,4.27,3.17,N
raket,lawaai,2.69,2.05,N
zonsondergang,avond,5.22,2.9,N
motregen,regen,5.91,3.29,N
volwassene,baby,2.32,2.99,N
houtskool,kool,4.24,3.05,N
lichaam,ruggengraat,1.62,1.55,N
hoofd,nagel,1.22,1.97,N
boomstam,hout,3.72,2.65,N
lepel,beker,1.52,2.11,N
lichaam,zenuw,3.05,2.38,N
man,echtgenoot,5.51,3.13,N
botten,nek,2.21,2.13,N
frustratie,woede,6.17,2.69,N
rivier,zee,3.91,2.16,N
taak,beroep,2.95,2.27,N
vereniging,maatschappij,2.92,2.64,N
reflectie,afbeelding,3.46,1.57,N
prins,koning,5.25,2.93,N
sneeuw,weer,3.58,2.75,N
mensen,partij,2.15,2.62,N
jongen,broer,5.22,2.96,N
wortel,gras,3.44,2.55,N
wenkbrauw,oog,3.32,2.69,N
geld,parel,1.45,1.3,N
geld,diamant,1.36,1.82,N
voertuig,bus,3.6,3.42,N
taxi,bus,2.04,1.77,N
huis,schuur,3.54,1.89,N
vinger,handpalm,1.15,0.97,N
auto,brug,1.56,2.11,N
inspanning,moeilijkheid,4.04,2.46,N
feit,inzicht,2.6,2.37,N
beroep,management,2.04,2.56,N
kanker,ziekte,5.18,3.56,N
woord,krant,1.33,1.16,N
componist,schrijver,4.21,2.25,N
acteur,zanger,3.13,2.61,N
schuilplaats,hut,5.32,1.95,N
badkamer,keuken,2.97,2.97,N
cabine,hut,6.18,2.87,N
deur,keuken,1.45,1.54,N
waarde,geloof,2.98,2.67,N
wijsheid,intelligentie,6.42,2.54,N
onwetendheid,intelligentie,1.96,2.11,N
gelukkigheid,geluk,6.6,2.45,N
idee,plan,6.11,2.08,N
humeur,emotie,4.83,2.51,N
gelukkigheid,vrede,3.98,3.18,N
wanhoop,ongeluk,4.35,3.55,N
logica,rekenkunde,4.15,2.98,N
ontkenning,bekentenis,2.21,2.85,N
argument,kritiek,4.83,2.74,N
agressie,vijandigheid,6.69,1.68,N
hysterie,verwarring,2.71,2.66,N
scheikunde,theorie,1.93,1.66,N
juridische procedures,oordeel,4.79,2.5,N
comfort,veiligheid,4.54,3.22,N
zelfvertrouwen,zelf,2.1,1.64,N
visie,perceptie,6.53,2.55,N
tijdperk,decennium,5.92,2.57,N
biografie,fictie,1.0,1.7,N
discussie,argument,6.09,2.75,N
code,symbool,3.77,2.98,N
gevaar,ziekte,3.99,2.28,N
ongeval,ramp,5.48,2.02,N
reis,excursie,6.12,2.32,N
activiteit,beweging,6.22,1.91,N
roddel,nieuws,4.08,2.59,N
vader,god,1.76,1.85,N
actie,cursus,1.28,1.99,N
koorts,ziekte,4.29,2.72,N
luchtvaart,vlucht,3.57,2.52,N
spel,actie,3.74,3.39,N
molecuul,lucht,3.51,2.92,N
huis,toestand,2.76,2.87,N
woord,literatuur,2.92,2.1,N
volwassene,voogd,6.19,2.51,N
krant,informatie,3.86,3.13,N
communicatie,televisie,3.11,2.9,N
neef,oom,3.1,2.96,N
auteur,lezer,2.58,2.8,N
kerel,partner,3.45,2.24,N
gebied,hoek,1.97,1.65,N
ballade,lied,5.53,2.8,N
muur,decoratie,2.7,2.34,N
woord,pagina,2.53,2.42,N
verpleegster,wetenschapper,2.33,1.81,N
politicus,president,4.2,3.18,N
president,burgemeester,2.51,2.19,N
boek,essay,3.16,2.66,N
man,strijder,2.21,2.13,N
artikel,tijdschrift,3.16,2.86,N
ontbijt,avondeten,2.34,2.58,N
menigte,parade,2.74,2.36,N
gangpad,gang,7.35,1.57,N
leraar,rabbijn,3.97,3.03,N
heup,lip,1.06,1.37,N
boek,artikel,3.86,1.94,N
kamer,gevangeniscel,2.77,2.55,N
doos,kraampje,1.39,1.36,N
dochter,kind,4.41,3.13,N
ledemaat,been,4.74,2.55,N
lever,long,2.47,2.66,N
klaslokaal,gang,2.52,2.64,N
berg,richel,1.58,1.9,N
auto,lift,1.41,1.47,N
bed,bank,2.57,2.29,N
kleding,knoop,2.67,2.4,N
kleding,jas,3.18,2.33,N
nier,orgaan,6.35,2.29,N
appel,saus,1.34,1.24,N
kip,steak,2.53,2.46,N
auto,slang,1.38,2.23,N
tabak,sigaret,5.7,2.92,N
student,professor,2.5,2.75,N
baby,dochter,3.88,2.63,N
pijp,sigaar,3.37,3.14,N
melk,sap,2.51,2.45,N
doos,sigaar,2.81,2.49,N
appartement,hotel,3.4,2.47,N
beker,wafel,1.15,1.97,N
paard,os,3.55,2.28,N
keel,neus,3.25,3.28,N
botten,tanden,1.52,2.32,N
botten,elleboog,2.77,2.35,N
spek,boon,1.68,2.48,N
beker,pot,3.85,2.94,N
bewijs,feit,7.06,2.51,N
overeenkomst,afspraak,7.37,2.63,N
verjaardag,jaar,4.39,3.11,N
woord,referentie,2.07,2.59,N
auteur,maker,5.08,2.92,N
atoom,koolstof,2.26,2.12,N
aartsbisschop,bisschop,6.76,1.57,N
brief,paragraaf,1.76,1.66,N
pagina,paragraaf,3.08,2.91,N
kerktoren,kapel,4.07,2.87,N
spier,botten,1.81,1.87,N
spier,tong,4.5,3.15,N
jongen,soldaat,1.51,1.51,N
buik,onderbuik,5.32,2.28,N
kerel,meisje,1.14,1.42,N
bed,stoel,2.07,2.66,N
kleding,mantel,2.4,2.2,N
pistool,mes,1.85,2.5,N
blik,metaal,3.5,2.75,N
fles,container,2.75,1.79,N
kip,kalkoen,6.03,2.27,N
vlees,broodje,1.7,2.38,N
arm,botten,3.09,3.06,N
hals,ruggengraat,2.86,2.46,N
appel,citroen,4.03,3.14,N
lijden,verdriet,6.83,2.13,N
opdracht,taak,7.77,1.67,N
nacht,dageraad,2.97,3.0,N
diner,soep,2.7,2.45,N
kalf,stier,4.71,2.85,N
sneeuw,storm,3.3,2.91,N
nagel,hand,2.84,3.29,N
hond,paard,2.16,2.27,N
arm,hals,2.97,3.11,N
kogel,kanon,4.96,2.85,N
griep,koorts,5.13,2.52,N
vergoeding,salaris,5.51,2.11,N
zenuw,hersenen,4.09,3.12,N
beest,dier,8.59,1.63,N
diner,kip,1.88,1.78,N
meisje,dienstmeisje,1.93,2.36,N
kind,jongen,3.69,2.1,N
alcohol,wijn,3.94,2.62,N
neus,mond,3.94,3.73,N
weg,steeg,3.54,2.63,N
bel,deur,2.09,2.11,N
doos,hoed,0.93,0.83,N
geloof,indruk,2.04,2.08,N
vooroordeel,mening,4.34,3.09,N
aandacht,bewustzijn,5.36,2.61,N
woede,stemming,2.17,1.99,N
elegantie,stijl,6.35,2.37,N
schoonheid,leeftijd,1.31,1.38,N
boek,thema,3.06,3.23,N
vriend,moeder,1.78,2.71,N
vitamine,ijzer,2.42,2.5,N
auto,fabriek,1.74,1.98,N
verdrag,overeenkomst,8.48,1.37,N
hoofdstuk,keuze,1.44,1.98,N
rekenkunde,ritme,2.42,2.97,N
winnaar,aanwezigheid,1.64,2.15,N
geloof,bloem,1.43,2.48,N
winnaar,doel,2.79,2.1,N
truc,maat,1.32,1.44,N
keuze,neiging,1.98,2.35,N
volkslied,verovering,1.36,1.99,N
uithoudingsvermogen,muziekgroep,0.87,0.93,N
gevangenis,keuze,0.98,1.67,N
conditie,jongen,0.98,1.6,N
bloem,volharding,1.55,1.59,N
gat,overeenkomst,0.78,1.16,N
dokter,temperament,1.47,1.44,N
broederschap,deur,1.85,3.18,N
taak,vrouw,1.48,2.26,N
broederschap,honkbal,1.5,1.55,N
cent,maat,1.2,1.14,N
aanwezigheid,deur,1.02,1.5,N
muis,beheer,0.82,0.67,N
taak,snelweg,0.94,1.55,N
likeur,eeuw,1.26,1.42,N
taak,rietje,0.83,0.6,N
eiland,taak,0.8,0.79,N
nacht,hoofdstuk,1.2,1.89,N
vervuiling,president,0.88,0.78,N
pistool,truc,0.94,0.75,N
bad,truc,1.06,1.97,N
dieet,appel,1.72,2.51,N
cent,vrouw,1.08,1.87,N
hoofdstuk,staart,2.09,2.32,N
cursus,buik,0.72,1.62,N
volkslied,rietje,0.87,0.71,N
tandarts,kolonel,0.7,1.3,N
echtgenote,rietje,1.4,2.17,N
gat,vrouw,1.21,1.82,N
student,president,1.28,2.14,N
bad,vrouw,1.61,2.48,N
mensen,cent,1.05,1.42,N
formule,logaritme,3.99,3.2,N
vrouw,bont,1.74,1.81,N
appel,zonneschijn,1.69,2.53,N
pistool,dageraad,1.0,1.71,N
maaltijd,staart,0.49,0.48,N
camera,president,1.69,2.48,N
likeur,muziekgroep,0.85,0.49,N
buik,ader,2.26,2.66,N
pistool,bont,0.99,0.64,N
bank,honkbal,1.7,1.77,N
arbeider,camera,0.88,1.98,N
dek,muis,1.03,0.97,N
rijst,jongen,0.87,0.94,N
mensen,pistool,1.25,1.22,N
